DATE;PRCP;TMAX;TMIN;RAIN
15/06/1948;0;71;50;FALSE
16/06/1948;9;60;52;TRUE
17/06/1948;1;66;51;TRUE
18/06/1948;0;71;50;FALSE
19/06/1948;0;68;52;FALSE
20/06/1948;76;60;52;TRUE
21/06/1948;1;63;50;TRUE
22/06/1948;0;62;49;FALSE
23/06/1948;0;70;47;FALSE
24/06/1948;0;64;50;FALSE
25/06/1948;0;64;48;FALSE
26/06/1948;0;74;50;FALSE
27/06/1948;0;79;52;FALSE
28/06/1948;0;82;57;FALSE
29/06/1948;0;83;56;FALSE
30/06/1948;0;74;53;FALSE
01/07/1948;0;69;45;FALSE
02/07/1948;0;70;44;FALSE
03/07/1948;0;77;47;FALSE
04/07/1948;24;66;49;TRUE
05/07/1948;27;67;50;TRUE
06/07/1948;44;71;51;TRUE
07/07/1948;9;66;51;TRUE
08/07/1948;0;71;48;FALSE
09/07/1948;0;78;51;FALSE
10/07/1948;0;73;55;FALSE
11/07/1948;0;71;54;FALSE
12/07/1948;0;72;50;FALSE
13/07/1948;0;76;50;FALSE
14/07/1948;0;77;51;FALSE
15/07/1948;0;82;51;FALSE
16/07/1948;0;80;55;FALSE
17/07/1948;0;82;55;FALSE
18/07/1948;5;61;54;TRUE
19/07/1948;9;64;55;TRUE
20/07/1948;0;67;54;FALSE
21/07/1948;0;74;55;FALSE
22/07/1948;0;71;53;FALSE
23/07/1948;1;71;53;TRUE
24/07/1948;0;72;49;FALSE
25/07/1948;0;79;48;FALSE
26/07/1948;34;80;52;TRUE
27/07/1948;0;67;51;FALSE
28/07/1948;0;71;53;FALSE
29/07/1948;0;74;51;FALSE
30/07/1948;0;80;57;FALSE
31/07/1948;0;88;57;FALSE
01/08/1948;0;75;54;FALSE
02/08/1948;0;68;55;FALSE
03/08/1948;1;68;55;TRUE
04/08/1948;0;64;50;FALSE
05/08/1948;36;63;49;TRUE
06/08/1948;0;70;51;FALSE
07/08/1948;0;70;48;FALSE
08/08/1948;0;75;51;FALSE
09/08/1948;0;71;55;FALSE
10/08/1948;0;69;54;FALSE
11/08/1948;0;64;53;FALSE
12/08/1948;0;74;56;FALSE
13/08/1948;6;65;53;TRUE
14/08/1948;0;68;49;FALSE
15/08/1948;41;68;53;TRUE
16/08/1948;5;70;54;TRUE
17/08/1948;7;74;55;TRUE
18/08/1948;0;73;55;FALSE
19/08/1948;0;68;52;FALSE
20/08/1948;1;64;52;TRUE
21/08/1948;11;65;55;TRUE
22/08/1948;1;70;54;TRUE
23/08/1948;11;69;50;TRUE
24/08/1948;34;62;53;TRUE
25/08/1948;0;72;55;FALSE
26/08/1948;1;72;52;TRUE
27/08/1948;24;61;53;TRUE
28/08/1948;0;80;55;FALSE
29/08/1948;5;75;57;TRUE
30/08/1948;3;70;54;TRUE
31/08/1948;0;73;51;FALSE
01/09/1948;0;74;50;FALSE
02/09/1948;8;69;52;TRUE
03/09/1948;5;70;51;TRUE
04/09/1948;0;68;50;FALSE
05/09/1948;0;70;45;FALSE
06/09/1948;0;70;45;FALSE
07/09/1948;0;73;50;FALSE
08/09/1948;0;78;56;FALSE
09/09/1948;0;81;57;FALSE
10/09/1948;0;81;55;FALSE
11/09/1948;0;76;54;FALSE
12/09/1948;0;75;52;FALSE
13/09/1948;0;76;52;FALSE
14/09/1948;8;67;50;TRUE
15/09/1948;47;64;49;TRUE
16/09/1948;0;63;45;FALSE
17/09/1948;0;68;45;FALSE
18/09/1948;0;70;41;FALSE
19/09/1948;0;70;47;FALSE
20/09/1948;0;69;52;FALSE
21/09/1948;34;61;49;TRUE
22/09/1948;36;51;43;TRUE
23/09/1948;7;54;40;TRUE
24/09/1948;0;58;38;FALSE
25/09/1948;0;59;37;FALSE
26/09/1948;151;49;44;TRUE
27/09/1948;6;69;44;TRUE
28/09/1948;83;59;42;TRUE
29/09/1948;0;57;39;FALSE
30/09/1948;0;63;41;FALSE
01/10/1948;0;76;41;FALSE
02/10/1948;3;69;48;TRUE
03/10/1948;35;64;52;TRUE
04/10/1948;21;61;45;TRUE
05/10/1948;0;55;42;FALSE
06/10/1948;14;59;45;TRUE
07/10/1948;3;64;46;TRUE
08/10/1948;0;62;41;FALSE
09/10/1948;0;69;38;FALSE
10/10/1948;66;55;48;TRUE
11/10/1948;0;56;43;FALSE
12/10/1948;0;57;42;FALSE
13/10/1948;0;54;39;FALSE
14/10/1948;0;58;42;FALSE
15/10/1948;0;56;38;FALSE
16/10/1948;0;60;41;FALSE
17/10/1948;0;65;40;FALSE
18/10/1948;0;67;42;FALSE
19/10/1948;0;62;43;FALSE
20/10/1948;0;63;40;FALSE
21/10/1948;0;57;43;FALSE
22/10/1948;0;61;45;FALSE
23/10/1948;19;59;44;TRUE
24/10/1948;13;60;44;TRUE
25/10/1948;18;56;42;TRUE
26/10/1948;4;54;36;TRUE
27/10/1948;0;55;32;FALSE
28/10/1948;9;44;35;TRUE
29/10/1948;0;54;40;FALSE
30/10/1948;2;46;43;TRUE
31/10/1948;8;46;41;TRUE
01/11/1948;0;47;37;FALSE
02/11/1948;66;49;41;TRUE
03/11/1948;7;53;36;TRUE
04/11/1948;18;50;35;TRUE
05/11/1948;9;51;39;TRUE
06/11/1948;0;52;34;FALSE
07/11/1948;0;46;34;FALSE
08/11/1948;0;46;27;FALSE
09/11/1948;0;45;27;FALSE
10/11/1948;0;46;30;FALSE
11/11/1948;0;42;31;FALSE
12/11/1948;7;45;38;TRUE
13/11/1948;15;48;41;TRUE
14/11/1948;87;50;41;TRUE
15/11/1948;43;46;39;TRUE
16/11/1948;67;47;37;TRUE
17/11/1948;7;47;35;TRUE
18/11/1948;7;45;34;TRUE
19/11/1948;22;47;39;TRUE
20/11/1948;9;50;41;TRUE
21/11/1948;3;48;40;TRUE
22/11/1948;0;55;40;FALSE
23/11/1948;33;50;41;TRUE
24/11/1948;5;50;42;TRUE
25/11/1948;54;48;32;TRUE
26/11/1948;0;45;32;FALSE
27/11/1948;49;48;36;TRUE
28/11/1948;49;46;36;TRUE
29/11/1948;2;45;37;TRUE
30/11/1948;29;45;39;TRUE
01/12/1948;78;46;38;TRUE
02/12/1948;0;44;34;FALSE
03/12/1948;1;41;31;TRUE
04/12/1948;11;39;30;TRUE
05/12/1948;35;41;33;TRUE
06/12/1948;25;42;36;TRUE
07/12/1948;29;39;35;TRUE
08/12/1948;39;38;32;TRUE
09/12/1948;84;45;34;TRUE
10/12/1948;16;46;39;TRUE
11/12/1948;17;42;38;TRUE
12/12/1948;2;42;35;TRUE
13/12/1948;3;37;33;TRUE
14/12/1948;2;39;33;TRUE
15/12/1948;1;39;31;TRUE
16/12/1948;0;45;29;FALSE
17/12/1948;0;36;24;FALSE
18/12/1948;0;37;24;FALSE
19/12/1948;73;45;36;TRUE
20/12/1948;0;45;32;FALSE
21/12/1948;0;39;31;FALSE
22/12/1948;16;37;28;TRUE
23/12/1948;0;42;19;FALSE
24/12/1948;0;36;16;FALSE
25/12/1948;0;40;29;FALSE
26/12/1948;0;47;22;FALSE
27/12/1948;0;34;21;FALSE
28/12/1948;33;45;31;TRUE
29/12/1948;29;43;34;TRUE
30/12/1948;46;44;35;TRUE
31/12/1948;46;41;32;TRUE
01/01/1949;0;35;26;FALSE
02/01/1949;3;40;22;TRUE
03/01/1949;0;40;17;FALSE
04/01/1949;0;42;20;FALSE
05/01/1949;0;41;28;FALSE
06/01/1949;3;49;37;TRUE
07/01/1949;52;46;26;TRUE
08/01/1949;0;30;18;FALSE
09/01/1949;0;32;13;FALSE
10/01/1949;0;30;12;FALSE
11/01/1949;0;37;17;FALSE
12/01/1949;0;36;19;FALSE
13/01/1949;0;41;19;FALSE
14/01/1949;0;36;25;FALSE
15/01/1949;0;46;28;FALSE
16/01/1949;0;43;26;FALSE
17/01/1949;3;43;33;TRUE
18/01/1949;2;35;29;TRUE
19/01/1949;0;35;24;FALSE
20/01/1949;0;30;20;FALSE
21/01/1949;3;35;22;TRUE
22/01/1949;1;33;21;TRUE
23/01/1949;0;30;16;FALSE
24/01/1949;0;29;17;FALSE
25/01/1949;0;39;17;FALSE
26/01/1949;1;31;26;TRUE
27/01/1949;0;35;24;FALSE
28/01/1949;0;41;16;FALSE
29/01/1949;0;40;26;FALSE
30/01/1949;0;38;28;FALSE
31/01/1949;0;37;29;FALSE
01/02/1949;0;37;23;FALSE
02/02/1949;1;33;25;TRUE
03/02/1949;3;35;27;TRUE
04/02/1949;11;33;24;TRUE
05/02/1949;6;35;21;TRUE
06/02/1949;6;37;31;TRUE
07/02/1949;0;38;31;FALSE
08/02/1949;0;41;33;FALSE
09/02/1949;43;43;34;TRUE
10/02/1949;96;43;30;TRUE
11/02/1949;2;37;27;TRUE
12/02/1949;0;32;21;FALSE
13/02/1949;0;34;18;FALSE
14/02/1949;18;38;30;TRUE
15/02/1949;12;42;33;TRUE
16/02/1949;183;48;41;TRUE
17/02/1949;7;46;33;TRUE
18/02/1949;1;40;31;TRUE
19/02/1949;32;33;29;TRUE
20/02/1949;15;39;26;TRUE
21/02/1949;97;47;36;TRUE
22/02/1949;47;50;44;TRUE
23/02/1949;0;59;39;FALSE
24/02/1949;0;62;37;FALSE
25/02/1949;0;62;35;FALSE
26/02/1949;0;62;34;FALSE
27/02/1949;0;62;32;FALSE
28/02/1949;0;66;30;FALSE
01/03/1949;0;55;38;FALSE
02/03/1949;0;54;41;FALSE
03/03/1949;0;61;38;FALSE
04/03/1949;0;58;34;FALSE
05/03/1949;0;57;38;FALSE
06/03/1949;0;53;41;FALSE
07/03/1949;0;48;40;FALSE
08/03/1949;6;48;38;TRUE
09/03/1949;0;54;33;FALSE
10/03/1949;0;56;39;FALSE
11/03/1949;0;60;41;FALSE
12/03/1949;6;47;43;TRUE
13/03/1949;8;49;41;TRUE
14/03/1949;19;48;41;TRUE
15/03/1949;6;54;38;TRUE
16/03/1949;34;55;42;TRUE
17/03/1949;28;58;43;TRUE
18/03/1949;33;63;44;TRUE
19/03/1949;65;55;44;TRUE
20/03/1949;27;48;41;TRUE
21/03/1949;0;52;37;FALSE
22/03/1949;0;53;33;FALSE
23/03/1949;0;55;33;FALSE
24/03/1949;0;54;36;FALSE
25/03/1949;16;53;38;TRUE
26/03/1949;3;52;37;TRUE
27/03/1949;0;52;32;FALSE
28/03/1949;0;51;30;FALSE
29/03/1949;49;43;35;TRUE
30/03/1949;0;49;35;FALSE
31/03/1949;0;55;30;FALSE
01/04/1949;7;46;38;TRUE
02/04/1949;0;55;38;FALSE
03/04/1949;0;62;34;FALSE
04/04/1949;0;72;40;FALSE
05/04/1949;2;57;40;TRUE
06/04/1949;0;64;36;FALSE
07/04/1949;0;51;38;FALSE
08/04/1949;0;60;43;FALSE
09/04/1949;0;71;41;FALSE
10/04/1949;0;67;43;FALSE
11/04/1949;0;58;43;FALSE
12/04/1949;0;58;42;FALSE
13/04/1949;0;55;40;FALSE
14/04/1949;0;73;35;FALSE
15/04/1949;0;71;42;FALSE
16/04/1949;0;58;45;FALSE
17/04/1949;0;54;39;FALSE
18/04/1949;0;53;45;FALSE
19/04/1949;2;55;43;TRUE
20/04/1949;23;57;43;TRUE
21/04/1949;1;54;42;TRUE
22/04/1949;25;55;40;TRUE
23/04/1949;16;58;43;TRUE
24/04/1949;0;59;41;FALSE
25/04/1949;1;59;43;TRUE
26/04/1949;0;69;40;FALSE
27/04/1949;6;63;43;TRUE
28/04/1949;1;61;46;TRUE
29/04/1949;0;52;39;FALSE
30/04/1949;7;55;38;TRUE
01/05/1949;81;52;43;TRUE
02/05/1949;11;54;40;TRUE
03/05/1949;0;56;37;FALSE
04/05/1949;0;59;38;FALSE
05/05/1949;0;72;36;FALSE
06/05/1949;0;70;46;FALSE
07/05/1949;0;77;47;FALSE
08/05/1949;0;77;47;FALSE
09/05/1949;0;74;46;FALSE
10/05/1949;0;73;44;FALSE
11/05/1949;0;80;48;FALSE
12/05/1949;0;78;51;FALSE
13/05/1949;0;77;50;FALSE
14/05/1949;0;76;47;FALSE
15/05/1949;0;65;49;FALSE
16/05/1949;0;59;45;FALSE
17/05/1949;0;65;45;FALSE
18/05/1949;0;78;48;FALSE
19/05/1949;27;61;47;TRUE
20/05/1949;0;68;48;FALSE
21/05/1949;0;70;48;FALSE
22/05/1949;0;71;52;FALSE
23/05/1949;0;76;48;FALSE
24/05/1949;0;68;51;FALSE
25/05/1949;0;71;47;FALSE
26/05/1949;0;71;46;FALSE
27/05/1949;1;61;51;TRUE
28/05/1949;0;65;47;FALSE
29/05/1949;0;67;45;FALSE
30/05/1949;0;66;47;FALSE
31/05/1949;1;64;47;TRUE
01/06/1949;6;64;47;TRUE
02/06/1949;0;67;46;FALSE
03/06/1949;0;74;45;FALSE
04/06/1949;0;80;50;FALSE
05/06/1949;0;84;52;FALSE
06/06/1949;0;83;53;FALSE
07/06/1949;0;72;45;FALSE
08/06/1949;0;79;47;FALSE
09/06/1949;7;76;50;TRUE
10/06/1949;0;68;52;FALSE
11/06/1949;0;74;47;FALSE
12/06/1949;0;74;46;FALSE
13/06/1949;0;74;47;FALSE
14/06/1949;0;80;47;FALSE
15/06/1949;0;68;43;FALSE
16/06/1949;9;65;44;TRUE
17/06/1949;16;73;44;TRUE
18/06/1949;0;77;46;FALSE
19/06/1949;2;66;49;TRUE
20/06/1949;3;71;52;TRUE
21/06/1949;0;74;49;FALSE
22/06/1949;0;63;51;FALSE
23/06/1949;0;68;51;FALSE
24/06/1949;1;64;47;TRUE
25/06/1949;1;64;45;TRUE
26/06/1949;28;63;46;TRUE
27/06/1949;1;61;45;TRUE
28/06/1949;17;61;45;TRUE
29/06/1949;2;64;45;TRUE
30/06/1949;0;73;43;FALSE
01/07/1949;0;70;45;FALSE
02/07/1949;0;72;48;FALSE
03/07/1949;0;75;45;FALSE
04/07/1949;0;72;43;FALSE
05/07/1949;0;68;50;FALSE
06/07/1949;0;69;45;FALSE
07/07/1949;0;74;50;FALSE
08/07/1949;0;80;49;FALSE
09/07/1949;0;83;54;FALSE
10/07/1949;0;82;50;FALSE
11/07/1949;0;75;52;FALSE
12/07/1949;0;83;49;FALSE
13/07/1949;0;86;50;FALSE
14/07/1949;0;85;57;FALSE
15/07/1949;0;78;55;FALSE
16/07/1949;0;72;54;FALSE
17/07/1949;0;77;51;FALSE
18/07/1949;7;68;53;TRUE
19/07/1949;7;66;53;TRUE
20/07/1949;0;69;52;FALSE
21/07/1949;0;71;50;FALSE
22/07/1949;0;68;54;FALSE
23/07/1949;54;66;55;TRUE
24/07/1949;5;70;52;TRUE
25/07/1949;11;62;54;TRUE
26/07/1949;11;65;51;TRUE
27/07/1949;9;69;50;TRUE
28/07/1949;0;75;51;FALSE
29/07/1949;0;80;51;FALSE
30/07/1949;0;80;55;FALSE
31/07/1949;0;86;56;FALSE
01/08/1949;0;92;62;FALSE
02/08/1949;0;74;55;FALSE
03/08/1949;0;71;55;FALSE
04/08/1949;2;73;55;TRUE
05/08/1949;0;74;53;FALSE
06/08/1949;8;66;54;TRUE
07/08/1949;1;67;53;TRUE
08/08/1949;0;73;54;FALSE
09/08/1949;0;74;51;FALSE
10/08/1949;0;73;53;FALSE
11/08/1949;1;70;57;TRUE
12/08/1949;6;68;49;TRUE
13/08/1949;0;72;51;FALSE
14/08/1949;0;71;48;FALSE
15/08/1949;0;78;50;FALSE
16/08/1949;0;72;58;FALSE
17/08/1949;0;77;54;FALSE
18/08/1949;0;77;52;FALSE
19/08/1949;0;81;50;FALSE
20/08/1949;0;73;52;FALSE
21/08/1949;0;73;55;FALSE
22/08/1949;0;75;49;FALSE
23/08/1949;0;76;50;FALSE
24/08/1949;25;70;49;TRUE
25/08/1949;0;71;53;FALSE
26/08/1949;0;76;48;FALSE
27/08/1949;0;80;52;FALSE
28/08/1949;0;85;56;FALSE
29/08/1949;0;83;55;FALSE
30/08/1949;2;68;53;TRUE
31/08/1949;0;75;55;FALSE
01/09/1949;0;78;50;FALSE
02/09/1949;0;77;51;FALSE
03/09/1949;0;82;59;FALSE
04/09/1949;0;83;62;FALSE
05/09/1949;0;81;61;FALSE
06/09/1949;0;87;55;FALSE
07/09/1949;0;85;53;FALSE
08/09/1949;0;75;51;FALSE
09/09/1949;0;70;54;FALSE
10/09/1949;0;67;53;FALSE
11/09/1949;0;68;45;FALSE
12/09/1949;0;76;44;FALSE
13/09/1949;0;79;47;FALSE
14/09/1949;73;61;52;TRUE
15/09/1949;35;60;51;TRUE
16/09/1949;23;62;48;TRUE
17/09/1949;0;61;47;FALSE
18/09/1949;8;63;51;TRUE
19/09/1949;2;62;49;TRUE
20/09/1949;0;65;40;FALSE
21/09/1949;0;68;46;FALSE
22/09/1949;0;73;44;FALSE
23/09/1949;0;73;46;FALSE
24/09/1949;0;60;51;FALSE
25/09/1949;0;66;51;FALSE
26/09/1949;0;77;46;FALSE
27/09/1949;0;82;50;FALSE
28/09/1949;0;64;54;FALSE
29/09/1949;0;65;55;FALSE
30/09/1949;2;60;49;TRUE
01/10/1949;0;65;49;FALSE
02/10/1949;0;65;43;FALSE
03/10/1949;14;56;39;TRUE
04/10/1949;74;54;47;TRUE
05/10/1949;0;61;44;FALSE
06/10/1949;2;53;42;TRUE
07/10/1949;15;57;41;TRUE
08/10/1949;0;53;39;FALSE
09/10/1949;18;60;43;TRUE
10/10/1949;12;56;41;TRUE
11/10/1949;4;59;46;TRUE
12/10/1949;0;60;43;FALSE
13/10/1949;0;57;37;FALSE
14/10/1949;0;63;36;FALSE
15/10/1949;2;59;42;TRUE
16/10/1949;0;53;41;FALSE
17/10/1949;5;51;34;TRUE
18/10/1949;0;48;32;FALSE
19/10/1949;0;50;28;FALSE
20/10/1949;0;53;29;FALSE
21/10/1949;0;55;32;FALSE
22/10/1949;0;60;39;FALSE
23/10/1949;0;47;41;FALSE
24/10/1949;0;52;42;FALSE
25/10/1949;0;48;42;FALSE
26/10/1949;17;52;44;TRUE
27/10/1949;117;57;48;TRUE
28/10/1949;69;58;48;TRUE
29/10/1949;0;57;41;FALSE
30/10/1949;0;65;41;FALSE
31/10/1949;0;71;42;FALSE
01/11/1949;0;63;40;FALSE
02/11/1949;0;69;38;FALSE
03/11/1949;0;69;38;FALSE
04/11/1949;0;74;41;FALSE
05/11/1949;0;65;40;FALSE
06/11/1949;0;55;39;FALSE
07/11/1949;1;52;38;TRUE
08/11/1949;6;51;44;TRUE
09/11/1949;26;51;39;TRUE
10/11/1949;27;51;42;TRUE
11/11/1949;69;55;45;TRUE
12/11/1949;138;50;44;TRUE
13/11/1949;23;54;49;TRUE
14/11/1949;12;56;47;TRUE
15/11/1949;0;53;44;FALSE
16/11/1949;0;66;43;FALSE
17/11/1949;0;56;43;FALSE
18/11/1949;6;53;45;TRUE
19/11/1949;0;50;45;FALSE
20/11/1949;0;49;39;FALSE
21/11/1949;0;54;35;FALSE
22/11/1949;67;54;39;TRUE
23/11/1949;22;52;47;TRUE
24/11/1949;15;58;48;TRUE
25/11/1949;3;59;47;TRUE
26/11/1949;117;61;48;TRUE
27/11/1949;37;54;46;TRUE
28/11/1949;42;49;43;TRUE
29/11/1949;37;50;40;TRUE
30/11/1949;3;52;43;TRUE
01/12/1949;43;55;48;TRUE
02/12/1949;0;49;38;FALSE
03/12/1949;0;45;30;FALSE
04/12/1949;0;54;41;FALSE
05/12/1949;1;47;35;TRUE
06/12/1949;0;45;31;FALSE
07/12/1949;0;45;34;FALSE
08/12/1949;2;44;27;TRUE
09/12/1949;7;43;32;TRUE
10/12/1949;1;38;25;TRUE
11/12/1949;13;34;24;TRUE
12/12/1949;11;37;31;TRUE
13/12/1949;0;45;36;FALSE
14/12/1949;0;49;38;FALSE
15/12/1949;15;43;33;TRUE
16/12/1949;21;40;35;TRUE
17/12/1949;1;42;33;TRUE
18/12/1949;3;34;24;TRUE
19/12/1949;0;30;17;FALSE
20/12/1949;7;37;22;TRUE
21/12/1949;2;44;35;TRUE
22/12/1949;1;47;42;TRUE
23/12/1949;114;47;36;TRUE
24/12/1949;3;42;32;TRUE
25/12/1949;23;43;37;TRUE
26/12/1949;12;42;39;TRUE
27/12/1949;127;48;41;TRUE
28/12/1949;26;52;44;TRUE
29/12/1949;22;54;32;TRUE
30/12/1949;23;38;29;TRUE
31/12/1949;7;36;29;TRUE
01/01/1950;25;32;24;TRUE
02/01/1950;1;24;6;TRUE
03/01/1950;1;26;6;TRUE
04/01/1950;0;28;14;FALSE
05/01/1950;8;38;22;TRUE
06/01/1950;95;39;35;TRUE
07/01/1950;31;37;33;TRUE
08/01/1950;22;33;31;TRUE
09/01/1950;13;35;30;TRUE
10/01/1950;33;42;31;TRUE
11/01/1950;5;35;29;TRUE
12/01/1950;0;32;18;FALSE
13/01/1950;127;19;11;TRUE
14/01/1950;16;16;8;TRUE
15/01/1950;2;21;15;TRUE
16/01/1950;0;22;13;FALSE
17/01/1950;0;24;15;FALSE
18/01/1950;29;25;9;TRUE
19/01/1950;107;42;24;TRUE
20/01/1950;146;48;37;TRUE
21/01/1950;43;48;42;TRUE
22/01/1950;47;45;36;TRUE
23/01/1950;4;36;25;TRUE
24/01/1950;0;26;10;FALSE
25/01/1950;24;24;7;TRUE
26/01/1950;103;35;21;TRUE
27/01/1950;0;28;19;FALSE
28/01/1950;0;25;7;FALSE
29/01/1950;0;24;6;FALSE
30/01/1950;0;22;7;FALSE
31/01/1950;0;20;0;FALSE
01/02/1950;0;27;1;FALSE
02/02/1950;0;30;8;FALSE
03/02/1950;1;35;8;TRUE
04/02/1950;27;41;33;TRUE
05/02/1950;7;43;34;TRUE
06/02/1950;29;40;35;TRUE
07/02/1950;8;46;35;TRUE
08/02/1950;6;44;35;TRUE
09/02/1950;2;45;37;TRUE
10/02/1950;21;42;36;TRUE
11/02/1950;0;44;39;FALSE
12/02/1950;79;44;38;TRUE
13/02/1950;23;52;41;TRUE
14/02/1950;28;54;42;TRUE
15/02/1950;45;54;46;TRUE
16/02/1950;15;50;39;TRUE
17/02/1950;1;54;39;TRUE
18/02/1950;4;52;38;TRUE
19/02/1950;0;46;34;FALSE
20/02/1950;3;46;36;TRUE
21/02/1950;6;47;37;TRUE
22/02/1950;2;50;40;TRUE
23/02/1950;83;49;39;TRUE
24/02/1950;15;49;41;TRUE
25/02/1950;8;58;41;TRUE
26/02/1950;35;53;36;TRUE
27/02/1950;0;46;31;FALSE
28/02/1950;0;50;29;FALSE
01/03/1950;0;55;35;FALSE
02/03/1950;27;50;39;TRUE
03/03/1950;208;56;46;TRUE
04/03/1950;85;47;42;TRUE
05/03/1950;36;49;40;TRUE
06/03/1950;0;46;36;FALSE
07/03/1950;0;46;28;FALSE
08/03/1950;6;47;36;TRUE
09/03/1950;11;44;35;TRUE
10/03/1950;4;42;31;TRUE
11/03/1950;0;41;27;FALSE
12/03/1950;3;43;32;TRUE
